address,area,price
天成花园-SM附近,湖里,1500
富贵门花园-枋湖,湖里,1250
禹州城上城-金尚路,湖里,1200
莲花五村龙华路龙翔里-莲花五村,思明,1200
云顶至尊-瑞景,思明,20000
瑞丽花园-瑞景,思明,5700
米兰春天-湖滨北路,思明,3400
福满山庄-瑞景,思明,4380
福满山庄-瑞景,思明,6500
瑞景新村-瑞景,思明,3700
香港广场-厦禾路,思明,7500
假日香港广场-思明北路,思明,3800
中山海景广场-中山路,思明,3900
天成花园-富山,思明,2200
瑞景公园-瑞景,思明,8500
瑞景公园-瑞景,思明,6500
瑞景新村-瑞景,思明,4500
嘉盛豪园-瑞景,思明,4000
嘉盛豪园-瑞景,思明,6500
怡鹭大厦-嘉禾路,思明,1200
嘉盛豪园（莲前）-莲前西路,思明,1750
瑞景商业广场-瑞景,思明,1680
嘉盛豪园-瑞景,思明,1742
瑞景商业广场-瑞景,思明,1658
嘉盛豪园-瑞景,思明,1700
嘉盛豪园-瑞景,思明,1658
洪文大排档-莲前西路,思明,1750
嘉盛豪园-瑞景,思明,1716
嘉盛豪园-瑞景,思明,1658
一代风华-松柏,思明,1800
嘉益大厦-嘉禾路,思明,4200
汇丰家园-文灶,思明,3500
金鸡亭花园-金鸡亭,思明,2600
海艺大厦-软件园,思明,2000
新景花园岭兜小区岭兜一里何厝小区香山海景苑岭兜二里岭兜佳园明发园明发城家家海景观音山宝龙一城-软件园,思明,3400
紫荆园-金榜路,思明,3500
龙门世家-富山,思明,6500
湖滨东路40号小区-火车站,思明,3000
文屏巷-文灶,思明,3500
洪文瑞景公园-瑞景,思明,5000
厦航宿舍-瑞景,思明,4500
洪山柄南区-瑞景,思明,4800
航空宿舍-瑞景,思明,4500
华林紫微花园-前埔南区,思明,4500
嘉盛豪园-瑞景,思明,1750
怡鹭大厦-嘉禾路,思明,1700
嘉盛豪园（莲前）-莲前西路,思明,1750
瑞景商业广场-瑞景,思明,1658
嘉盛豪园-瑞景,思明,1742
洪山柄北区-莲前西路,思明,1658
嘉盛豪园-瑞景,思明,1700
瑞景商业广场-瑞景,思明,1800
洪山柄北区-莲前西路,思明,1658
洪山柄北区-莲前西路,思明,1700
摩登时代大厦-嘉禾路,思明,2800
福达里-湖滨北路,思明,2800
源昌君悦山-莲前西路,思明,1650
岭兜佳园-软件园,思明,1600
岭兜一里-软件园,思明,2800
岭兜二里-前埔北区,思明,4500
湖滨名宫-白鹭洲路,思明,5800
华天花园-嘉禾路,思明,2700
英皇湖畔花苑-松柏,思明,4000
嘉华里-松柏,思明,3300
英皇湖畔花苑-松柏,思明,4600
东芳山庄-槟榔东里,思明,16000
嘉盛豪园E组团-莲前东路,思明,1200
嘉盛豪园-瑞景,思明,1200
华林东盛花园一期-前埔北区,思明,1000
嘉盛豪园-瑞景,思明,1700
万科金域蓝湾-瑞景,思明,2000
莲花吕岭路安溪大厦、福星花园（泰和花园站）-莲花五村,思明,1200
龙辉花园-富山,思明,3000
海峡国际社区二期-会展路,思明,6000
海峡国际社区二期-会展路,思明,4500
海峡国际社区二期-会展路,思明,5500
家家海景-软件园,思明,1500
新景花园-软件园,思明,3500
新景花园-软件园,思明,4200
软件园二期-软件园,思明,3200
岭兜佳园-软件园,思明,3500
岭兜佳园-软件园,思明,1200
岭兜小区-软件园,思明,4500
古楼南里-前埔南区,思明,3158
国贸新城-前埔北区,思明,3798
店上东里-前埔南区,思明,3000
店上东里-前埔南区,思明,3480
古楼南里-前埔南区,思明,3268
店上西里-前埔南区,思明,4488
明发国际新城-会展路,思明,4188
古楼北里-前埔南区,思明,2558
文兴东三里-前埔南区,思明,3488
古楼北里-前埔南区,思明,3588
店上东里-前埔南区,思明,3398
店上东里-前埔南区,思明,3000
古楼南里-前埔南区,思明,3600
明发国际新城-会展路,思明,1300
前埔北区二里-前埔北区,思明,3980
前埔北区二里-前埔北区,思明,3788
古楼北里-前埔南区,思明,3900
前埔边防公寓-前埔南区,思明,1300
店上东里-前埔南区,思明,2950
古楼北里-前埔南区,思明,3780
文兴东一里-前埔南区,思明,3300
店上东里-前埔南区,思明,3800
古兴里-前埔南区,思明,4200
北区二里-前埔北区,思明,4980
国贸新城-前埔北区,思明,3788
店上西里-前埔南区,思明,4000
店上东里-前埔南区,思明,3588
古兴里-前埔南区,思明,4480
店上西里-前埔南区,思明,3860
明发国际新城-会展路,思明,1850
古楼南里-前埔南区,思明,3298
古兴里-前埔南区,思明,6800
文兴东三里-前埔南区,思明,3798
仙岳里-仙岳路,思明,1500
文兴东二里-前埔南区,思明,2980
店上东里-前埔南区,思明,3000
边防小区-前埔南区,思明,4858
店上东里-前埔南区,思明,4400
明发国际新城-会展路,思明,1600
店上东里-前埔南区,思明,3000
文兴东三里-前埔南区,思明,3698
店上东里-前埔南区,思明,3480
店上西里-前埔南区,思明,4498
店上东里-前埔南区,思明,3150
古楼南里-前埔南区,思明,3898
文兴东三里-前埔南区,思明,3858
店上东里-前埔南区,思明,3780
店上东里-前埔南区,思明,3788
古楼北里-前埔南区,思明,3250
店上东里-前埔南区,思明,2988
山木清华-莲前,思明,3900
龙辉花园-富山,思明,3000
世贸国际-火车站,思明,3300
汇丰家园-文灶,思明,2700
百源双玺-厦禾路,思明,2700
恒达大厦-厦大,思明,6800
怡富花园-莲前,思明,2500
金鸡亭花园-金鸡亭,思明,3500
假日香港广场-思明北路,思明,1600
假日香港广场-思明北路,思明,5800
假日香港广场-思明北路,思明,3500
苏公馆-观音山,思明,1600
苏公馆-瑞景,思明,1600
苏公馆-软件园,思明,1600
苏公馆-观音山,思明,1600
苏公馆-软件园,思明,1600
岭兜小区-软件园,思明,3300
香山海景苑-软件园,思明,1500
舒心阳光公寓-莲前东路,思明,1950
舒心阳光公寓-观音山,思明,1500
舒心阳光公寓-前埔北区,思明,1600
舒心阳光公寓-莲前东路,思明,1600
舒心阳光公寓-前埔北区,思明,1500
中山晶品公寓-大同路,思明,1300
 源昌君悦山-莲前西路,思明,2000
梅园小区-禾祥西路,思明,4500
英才商厦-文灶,思明,3500
莲前瑞景嘉盛豪园-瑞景,思明,1800
金鸡亭花园-莲前西路,思明,3300
电化宿舍-文屏路,思明,3200
天成花园-嘉禾路,思明,2200
厦门思明区九龙城-厦禾路,思明,2800
岭兜佳园-软件园,思明,3200
岭兜小区-软件园,思明,3200
嘉盛豪园-瑞景,思明,1200
家家海景-前埔北区,思明,5000
瑞丽花园-瑞景,思明,7000
瑞景商业广场-瑞景,思明,2800
厦航别墅-莲前,思明,8000
瑞景公园-瑞景,思明,8500
嘉盛豪园-瑞景,思明,6600
罗宾森二期-火车站,思明,6200
育青路育青路22号301室-育青路,思明,3800
罗宾森璀璨新城1期-火车站,思明,4200
侨旺大厦-松柏,思明,6000
武汉大厦-莲花一村,思明,4500
华天花园-嘉禾路,思明,4800
永升华庭-松柏,思明,6900
莲坂小区-湖滨北路,思明,3300
金磊花园-金鸡亭,思明,4300
金林花园-金鸡亭,思明,2900
怡富花园-莲前西路,思明,4200
怡富花园-莲前,思明,3800
香山海景苑-软件园,思明,9500
碧海晴空-软件园,思明,11000
香山碧海晴空-软件园,思明,11500
岭兜小区-软件园,思明,3600
香山海景苑-软件园,思明,2900
电业花园-莲岳路,思明,3300
锦绣广场-松柏,思明,1800
江头长青K小区-松柏,思明,2500
