addr,area,price
天心区刘家冲北路238号满庭芳家园,天心区,2400
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2600
长沙市天心区竹塘西路180号,天心区,1800
韶山南路166号鑫天山水洲城,天心区,3200
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,3000
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2400
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,3600
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,1500
长沙市天心区新姚北路308号,天心区,2200
天心区赤岭路街道赤岭路215号,天心区,2800
天心石人村木莲冲路110号童话里,天心区,2900
芙蓉南路二段88,天心区,1800
天心区书院路9号（南湖路和湘江路交汇处东北角）,天心区,5000
天心南湖路406号（南湖路与书院路交汇处）,天心区,2500
杉木冲中路288号,天心区,1800
长沙市天心区老虎塘路65号,天心区,3000
芙蓉中路三段526号,天心区,1500
天心区中意路111号,天心区,2500
天心芙蓉南路1号(芙蓉南路与二环线交汇处),天心区,7000
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,800
芙蓉中路三段600号,天心区,1600
芙蓉中路三段600号,天心区,1900
湖南省长沙市天心区长坡二街与长坡一街交口东北侧长坡社区,天心区,1900
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2000
书院南路与新韶西路交汇处东南角(新韶西路369号)钱隆学府,天心区,2500
黄土岭路2号都市春天,天心区,2400
湘府西路新省政府西边保利花园,天心区,2300
天心天心区芙蓉中路三段509号,天心区,1600
长沙赤岭路348号金碧文华,天心区,2200
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,1800
湘府西路新省政府西边保利花园,天心区,2300
天心天心区芙蓉中路三段509号,天心区,1600
长沙赤岭路348号金碧文华,天心区,2200
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,1800
长沙市天心区新韶东路498号鑫远湘府华城,天心区,2800
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,2500
长沙五凌路328号欧洲城,天心区,2600
长沙市天心区芙蓉南路一段758号,天心区,1500
长沙市天心区芙蓉南路一段758号,天心区,1500
天心五凌路168号,天心区,4800
湘府西路新省政府西边保利花园,天心区,1850
天心南湖路南湖医院旁边金泰小区,天心区,1100
天心区新姚北路399号（芙蓉南路铁道学院西门斜对面）博林金谷,天心区,2400
天心区赤岭路街道赤岭路215号,天心区,3000
长沙市天心区环保西路与芙蓉南路交汇处,天心区,1600
长沙市天心区书香路658号,天心区,1600
芙蓉南路与万家丽路交汇处，动物园附近,天心区,2000
长沙理工大学云塘校区正对面,天心区,2100
芙蓉南路高云路6号怡海星城,天心区,1500
长沙市天心区新姚南路198号,天心区,2300
长沙市天心区湘府中路226号天城泰祥苑,天心区,4000
天心芙蓉南路与湘府路交汇处的东南白沙世纪佳园,天心区,3800
芙蓉南路2号芙蓉中路浦沅,天心区,1300
长沙市天心区芙蓉南路一段758号,天心区,3800
长沙市天心区新韶东路498号鑫远湘府华城,天心区,4000
天心芙蓉南路1号(芙蓉南路与二环线交汇处),天心区,5800
长沙市天心区友谊路318号君临青园花都,天心区,2600
长沙市天心区新韶东路498号鑫远湘府华城,天心区,4600
湖南省长沙市天心区南二环2段300号,天心区,1100
天心区侯家塘南湖路城建学院,天心区,1500
富绿新村天心区书院路老80号富绿新村,天心区,2000
湖南省长沙市天心区湘府路与五凌路交汇处湘府9号,天心区,2800
湘府东路二段99号（湘府路与万家丽路交汇处西南角）,天心区,2200
雨花区万芙北路439号,天心区,2600
书院南路423号,天心区,3000
天心区书院南路189号广厦新村,天心区,1500
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,2500
书院南路115号(书院路与南二环交汇处),天心区,3600
天心长沙市新韶西路229号,天心区,1600
长沙市天心区友谊路318号君临青园花都,天心区,2500
中意二路西中信文化广场（中信新城二期）,天心区,2000
